wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Ameline, Jean-Paul||0||DFK0006150565|21666|Ameline, Jean-Paul||||||||
|Artozoul, René||0||DFK0002612404|13221|Artozoul, René||||||||
|Allara, Pamela||0||DFK0001815718|21634|Allara, Pamela||||||||
|Arnauld, Pierre||0||DFK0000617253|21642|Arnauld, Pierre||||||||
|Argence, Guy||0||DFK0003196364|16457|Argence, Guy||||||||
|Amine, Patrick||0||DFK0000366857|20969|Amine, Patrick||||||||
|Arlt, Joachim||0||DFK0009026944|15678|Arlt, Joachim||||||||
|||0||DFK0009582853|10611|Albrecht D., Albrecht||||||||
|Abedine, Dino||0||DFK0008266056|16964|Abedine, Dino||||||||
|Amblard||0||DFK0005174004|10727|Amblard, Amblard||||||||
|André, Maurice||0||DFK0004718181|11032|André, Maurice||||||||
|Alkesiun, Jan||0||DFK0004973588|17220|Alkesiun, Jan||||||||
|Artymowska, Roman||0||DFK0002816486|19183|Artymowska, Roman||||||||
|André||1|yes|DFK0000268997|6105|André, André||||||||
|Armitage, Edwards||0||DFK0006505834|10276|Armitage, Edwards|||||10276|Armitage, Edwards||
|A. Y.||1||DFK0009956388|20705|A. Y., A. Y.||||||||
|Aronson, Chil||0||DFK0006539038|13209|Aronson, Chil||||||||
|Averkion||0||DFK0005728500|13167|Averkion, Averkion||||||||
|Albert, Peter||0||DFK0008656170|13790|Albert, Peter||||||||
|Amidou, Dausou||0||DFK0007010583|13475|Amidou, Dausou||||||||
|Abbott||0||DFK0008256841|14582|Abbott, Abbott||||||||
|Ando, Nana||0||DFK0004713756|14641|Ando, Nana||||||||
|Alessandrini, Paul||0||DFK0004733859|14563|Alessandrini, Paul||||||||
|Aragon, Carlo||0||DFK0007170597|15083|Aragon, Carlo||||||||
|Aubiet, Félix||0||DFK0009248244|15319|Aubiet, Félix||||||||
|Anavik, Geir||0||DFK0000446901|15337|Anavik, Geir||||||||
|Albertario, Carlo||0||DFK0003243916|15607|Albertario, Carlo||||||||
|Andral, Jean-Louis||0||DFK0000761622|16597|Andral, Jean-Louis||||||||
|Anastasiu, Cristina||0||DFK0008673979|18551|Anastasiu, Cristina||||||||
